Timestamp,DataTimestamp,CPU Usage (%),Memory Usage (%),Steps
1717494652.9159493,"{'21001': '0,1717494652', '11002': '0,1717494652', '21002': '0,1717494651', '11001': '0,1717494651'}",0.0,14.6,DEV_TO_OCC
1717494653.73387,"{'21001': '0,1717494653', '11002': '0,1717494652', '21002': '0,1717494652', '11001': '0,1717494651'}",1.2,14.6,DEV_TO_OCC
1717494653.7353542,"{'21001': '0,1717494653', '11002': '0,1717494653', '21002': '0,1717494652', '11001': '0,1717494652'}",0.0,14.6,DEV_TO_OCC
1717494654.7581835,"{'21001': '0,1717494653', '11002': '0,1717494654', '21002': '0,1717494652', '11001': '0,1717494653'}",1.1,14.6,DEV_TO_OCC
1717494654.759161,"{'21001': '0,1717494654', '11002': '0,1717494654', '21002': '0,1717494653', '11001': '0,1717494653'}",0.0,14.6,DEV_TO_OCC
1717494654.8208113,13,36.1,14.6,OCC_TO_CU
1717494654.8212476,14,0.0,14.6,OCC_TO_CU
1717494654.8215835,15,0.0,14.6,OCC_TO_CU
1717494654.8218772,16,0.0,14.6,OCC_TO_CU
1717494655.782322,"{'21001': '0,1717494654', '11002': '1,1717494655', '21002': '0,1717494653', '11001': '0,1717494654'}",1.3,14.6,DEV_TO_OCC
1717494655.7836823,"{'21001': '1,1717494655', '11002': '1,1717494655', '21002': '0,1717494654', '11001': '0,1717494654'}",0.0,14.6,DEV_TO_OCC
1717494656.9157994,"{'21001': '1,1717494655', '11002': '1,1717494656', '21002': '0,1717494654', '11001': '1,1717494655'}",1.2,14.6,DEV_TO_OCC
1717494656.9171832,"{'21001': '1,1717494656', '11002': '1,1717494656', '21002': '1,1717494655', '11001': '1,1717494655'}",50.0,14.6,DEV_TO_OCC
1717494657.8304179,"{'21001': '1,1717494656', '11002': '1,1717494657', '21002': '1,1717494655', '11001': '1,1717494656'}",1.3,14.6,DEV_TO_OCC
1717494657.8318913,"{'21001': '1,1717494657', '11002': '1,1717494657', '21002': '1,1717494656', '11001': '1,1717494656'}",0.0,14.6,DEV_TO_OCC
1717494658.751511,"{'21001': '1,1717494658', '11002': '1,1717494657', '21002': '1,1717494657', '11001': '1,1717494656'}",1.0,14.6,DEV_TO_OCC
1717494658.7528656,"{'21001': '1,1717494658', '11002': '1,1717494658', '21002': '1,1717494657', '11001': '1,1717494657'}",80.0,14.6,DEV_TO_OCC
1717494659.673084,"{'21001': '1,1717494659', '11002': '1,1717494658', '21002': '1,1717494658', '11001': '1,1717494657'}",1.2,14.6,DEV_TO_OCC
1717494659.7415183,"{'21001': '1,1717494659', '11002': '1,1717494659', '21002': '1,1717494658', '11001': '1,1717494658'}",10.8,14.6,DEV_TO_OCC
1717494660.9024103,"{'21001': '1,1717494659', '11002': '1,1717494660', '21002': '1,1717494658', '11001': '1,1717494659'}",0.9,14.6,DEV_TO_OCC
1717494660.9034421,"{'21001': '1,1717494660', '11002': '1,1717494660', '21002': '1,1717494659', '11001': '1,1717494659'}",0.0,14.6,DEV_TO_OCC
1717494661.668373,"{'21001': '1,1717494661', '11002': '1,1717494660', '21002': '1,1717494660', '11001': '1,1717494659'}",1.2,14.6,DEV_TO_OCC
1717494661.7274554,"{'21001': '1,1717494661', '11002': '1,1717494661', '21002': '1,1717494660', '11001': '1,1717494660'}",11.3,14.6,DEV_TO_OCC
1717494662.7454503,"{'21001': '1,1717494661', '11002': '1,1717494662', '21002': '1,1717494660', '11001': '1,1717494661'}",1.3,14.6,DEV_TO_OCC
1717494662.7465818,"{'21001': '1,1717494662', '11002': '1,1717494662', '21002': '1,1717494661', '11001': '1,1717494661'}",0.0,14.6,DEV_TO_OCC
1717494663.7768862,"{'21001': '1,1717494662', '11002': '1,1717494663', '21002': '1,1717494661', '11001': '1,1717494662'}",1.1,14.6,DEV_TO_OCC
1717494663.7783399,"{'21001': '1,1717494663', '11002': '1,1717494663', '21002': '1,1717494662', '11001': '1,1717494662'}",0.0,14.6,DEV_TO_OCC
1717494664.8331642,17,1.4,14.6,OCC_TO_CU
1717494664.8341968,18,0.0,14.6,OCC_TO_CU
1717494664.8353124,19,0.0,14.6,OCC_TO_CU
1717494664.8364134,20,0.0,14.6,OCC_TO_CU
1717494664.869295,"{'21001': '1,1717494664', '11002': '1,1717494663', '21002': '1,1717494663', '11001': '1,1717494662'}",27.9,14.6,DEV_TO_OCC
1717494664.8704355,"{'21001': '1,1717494664', '11002': '1,1717494664', '21002': '1,1717494663', '11001': '1,1717494663'}",0.0,14.6,DEV_TO_OCC
1717494665.8174706,"{'21001': '1,1717494664', '11002': '0,1717494665', '21002': '1,1717494663', '11001': '1,1717494664'}",3.5,14.6,DEV_TO_OCC
1717494665.8184834,"{'21001': '0,1717494665', '11002': '0,1717494665', '21002': '1,1717494664', '11001': '1,1717494664'}",0.0,14.6,DEV_TO_OCC
1717494666.7390482,"{'21001': '0,1717494665', '11002': '0,1717494666', '21002': '1,1717494664', '11001': '0,1717494665'}",1.6,14.6,DEV_TO_OCC
1717494666.7400153,"{'21001': '0,1717494666', '11002': '0,1717494666', '21002': '0,1717494665', '11001': '0,1717494665'}",0.0,14.6,DEV_TO_OCC
1717494667.9680579,"{'21001': '0,1717494666', '11002': '0,1717494667', '21002': '0,1717494665', '11001': '0,1717494666'}",1.4,14.6,DEV_TO_OCC
1717494667.9690802,"{'21001': '0,1717494667', '11002': '0,1717494667', '21002': '0,1717494666', '11001': '0,1717494666'}",50.0,14.6,DEV_TO_OCC
1717494668.8897717,"{'21001': '0,1717494667', '11002': '0,1717494668', '21002': '0,1717494666', '11001': '0,1717494667'}",1.2,14.6,DEV_TO_OCC
1717494668.8907845,"{'21001': '0,1717494668', '11002': '0,1717494668', '21002': '0,1717494667', '11001': '0,1717494667'}",0.0,14.6,DEV_TO_OCC
1717494669.811325,"{'21001': '0,1717494668', '11002': '0,1717494669', '21002': '0,1717494667', '11001': '0,1717494668'}",1.1,14.6,DEV_TO_OCC
1717494669.8124187,"{'21001': '0,1717494669', '11002': '0,1717494669', '21002': '0,1717494668', '11001': '0,1717494668'}",0.0,14.6,DEV_TO_OCC
1717494670.7330022,"{'21001': '0,1717494670', '11002': '0,1717494669', '21002': '0,1717494669', '11001': '0,1717494668'}",1.4,14.6,DEV_TO_OCC
1717494670.7342207,"{'21001': '0,1717494670', '11002': '0,1717494670', '21002': '0,1717494669', '11001': '0,1717494669'}",0.0,14.6,DEV_TO_OCC
1717494671.961204,"{'21001': '0,1717494671', '11002': '0,1717494670', '21002': '0,1717494670', '11001': '0,1717494669'}",1.0,14.6,DEV_TO_OCC
1717494671.962096,"{'21001': '0,1717494671', '11002': '0,1717494671', '21002': '0,1717494670', '11001': '0,1717494670'}",0.0,14.6,DEV_TO_OCC
1717494672.882998,"{'21001': '0,1717494672', '11002': '0,1717494671', '21002': '0,1717494671', '11001': '0,1717494670'}",1.4,14.6,DEV_TO_OCC
1717494672.8842194,"{'21001': '0,1717494672', '11002': '0,1717494672', '21002': '0,1717494671', '11001': '0,1717494671'}",0.0,14.6,DEV_TO_OCC
1717494673.8047595,"{'21001': '0,1717494672', '11002': '0,1717494673', '21002': '0,1717494671', '11001': '0,1717494672'}",1.4,14.6,DEV_TO_OCC
1717494673.8056622,"{'21001': '0,1717494673', '11002': '0,1717494673', '21002': '0,1717494672', '11001': '0,1717494672'}",0.0,14.6,DEV_TO_OCC
1717494674.7259438,"{'21001': '0,1717494674', '11002': '0,1717494673', '21002': '0,1717494673', '11001': '0,1717494672'}",1.0,14.6,DEV_TO_OCC
1717494674.7437024,"{'21001': '0,1717494674', '11002': '0,1717494674', '21002': '0,1717494673', '11001': '0,1717494673'}",23.8,14.6,DEV_TO_OCC
1717494674.8478708,21,4.1,14.6,OCC_TO_CU
1717494674.8491058,22,66.7,14.6,OCC_TO_CU
1717494674.8503478,23,0.0,14.6,OCC_TO_CU
1717494674.851493,24,0.0,14.6,OCC_TO_CU
1717494675.6736958,"{'21001': '1,1717494675', '11002': '0,1717494674', '21002': '0,1717494674', '11001': '0,1717494673'}",1.5,14.6,DEV_TO_OCC
1717494675.7551684,"{'21001': '1,1717494675', '11002': '1,1717494675', '21002': '0,1717494674', '11001': '0,1717494674'}",6.1,14.6,DEV_TO_OCC
1717494676.876932,"{'21001': '1,1717494675', '11002': '1,1717494676', '21002': '0,1717494674', '11001': '1,1717494675'}",1.2,14.6,DEV_TO_OCC
1717494676.8779962,"{'21001': '1,1717494676', '11002': '1,1717494676', '21002': '1,1717494675', '11001': '1,1717494675'}",0.0,14.6,DEV_TO_OCC
1717494677.8008707,"{'21001': '1,1717494676', '11002': '1,1717494677', '21002': '1,1717494675', '11001': '1,1717494676'}",1.0,14.6,DEV_TO_OCC
1717494677.8019402,"{'21001': '1,1717494677', '11002': '1,1717494677', '21002': '1,1717494676', '11001': '1,1717494676'}",0.0,14.6,DEV_TO_OCC
1717494679.0272832,"{'21001': '1,1717494678', '11002': '1,1717494677', '21002': '1,1717494677', '11001': '1,1717494676'}",5.5,14.6,DEV_TO_OCC
1717494679.028325,"{'21001': '1,1717494678', '11002': '1,1717494678', '21002': '1,1717494677', '11001': '1,1717494677'}",0.0,14.6,DEV_TO_OCC
1717494679.9058127,"{'21001': '1,1717494679', '11002': '1,1717494678', '21002': '1,1717494678', '11001': '1,1717494677'}",1.2,14.6,DEV_TO_OCC
1717494679.90685,"{'21001': '1,1717494679', '11002': '1,1717494679', '21002': '1,1717494678', '11001': '1,1717494678'}",0.0,14.6,DEV_TO_OCC
1717494680.8705716,"{'21001': '1,1717494680', '11002': '1,1717494679', '21002': '1,1717494679', '11001': '1,1717494678'}",1.3,14.6,DEV_TO_OCC
1717494680.871595,"{'21001': '1,1717494680', '11002': '1,1717494680', '21002': '1,1717494679', '11001': '1,1717494679'}",0.0,14.6,DEV_TO_OCC
1717494681.7939863,"{'21001': '1,1717494681', '11002': '1,1717494680', '21002': '1,1717494680', '11001': '1,1717494679'}",0.8,14.6,DEV_TO_OCC
1717494681.7949426,"{'21001': '1,1717494681', '11002': '1,1717494681', '21002': '1,1717494680', '11001': '1,1717494680'}",0.0,14.6,DEV_TO_OCC
1717494682.7155814,"{'21001': '1,1717494682', '11002': '1,1717494681', '21002': '1,1717494681', '11001': '1,1717494680'}",0.9,14.6,DEV_TO_OCC
1717494682.7364545,"{'21001': '1,1717494682', '11002': '1,1717494682', '21002': '1,1717494681', '11001': '1,1717494681'}",23.1,14.6,DEV_TO_OCC
1717494683.9426734,"{'21001': '1,1717494682', '11002': '1,1717494683', '21002': '1,1717494681', '11001': '1,1717494682'}",0.8,14.6,DEV_TO_OCC
1717494683.9436152,"{'21001': '1,1717494683', '11002': '1,1717494683', '21002': '1,1717494682', '11001': '1,1717494682'}",0.0,14.6,DEV_TO_OCC
1717494684.8631606,25,0.8,14.6,OCC_TO_CU
1717494684.8651197,"{'21001': '1,1717494683', '11002': '1,1717494684', '21002': '1,1717494682', '11001': '1,1717494683'}",80.0,14.6,DEV_TO_OCC
1717494684.8652754,26,80.0,14.6,OCC_TO_CU
1717494684.8682742,"{'21001': '1,1717494684', '11002': '1,1717494684', '21002': '1,1717494683', '11001': '1,1717494683'}",0.0,14.6,DEV_TO_OCC
1717494684.8684692,27,66.7,14.6,OCC_TO_CU
1717494684.8693786,28,0.0,14.6,OCC_TO_CU
1717494685.7856555,"{'21001': '1,1717494684', '11002': '0,1717494685', '21002': '1,1717494683', '11001': '1,1717494684'}",1.6,14.6,DEV_TO_OCC
1717494685.7866282,"{'21001': '0,1717494685', '11002': '0,1717494685', '21002': '1,1717494684', '11001': '1,1717494684'}",0.0,14.6,DEV_TO_OCC
1717494686.7069783,"{'21001': '0,1717494686', '11002': '0,1717494685', '21002': '0,1717494685', '11001': '1,1717494684'}",1.3,14.6,DEV_TO_OCC
1717494686.7377021,"{'21001': '0,1717494686', '11002': '0,1717494686', '21002': '0,1717494685', '11001': '0,1717494685'}",13.9,14.6,DEV_TO_OCC
1717494687.936888,"{'21001': '0,1717494687', '11002': '0,1717494686', '21002': '0,1717494686', '11001': '0,1717494685'}",0.9,14.6,DEV_TO_OCC
1717494687.937832,"{'21001': '0,1717494687', '11002': '0,1717494687', '21002': '0,1717494686', '11001': '0,1717494686'}",0.0,14.6,DEV_TO_OCC
1717494688.8579354,"{'21001': '0,1717494687', '11002': '0,1717494688', '21002': '0,1717494686', '11001': '0,1717494687'}",0.9,14.6,DEV_TO_OCC
1717494688.8598003,"{'21001': '0,1717494688', '11002': '0,1717494688', '21002': '0,1717494687', '11001': '0,1717494687'}",0.0,14.6,DEV_TO_OCC
1717494689.7794278,"{'21001': '0,1717494688', '11002': '0,1717494689', '21002': '0,1717494687', '11001': '0,1717494688'}",1.0,14.6,DEV_TO_OCC
1717494689.7805407,"{'21001': '0,1717494689', '11002': '0,1717494689', '21002': '0,1717494688', '11001': '0,1717494688'}",75.0,14.6,DEV_TO_OCC
1717494690.7003121,"{'21001': '0,1717494690', '11002': '0,1717494689', '21002': '0,1717494689', '11001': '0,1717494688'}",8.7,14.6,DEV_TO_OCC
1717494690.7417116,"{'21001': '0,1717494690', '11002': '0,1717494690', '21002': '0,1717494689', '11001': '0,1717494689'}",30.8,14.6,DEV_TO_OCC
1717494691.6781895,"{'21001': '0,1717494691', '11002': '0,1717494690', '21002': '0,1717494690', '11001': '0,1717494689'}",10.1,14.6,DEV_TO_OCC
1717494691.7391808,"{'21001': '0,1717494691', '11002': '0,1717494691', '21002': '0,1717494690', '11001': '0,1717494690'}",18.4,14.6,DEV_TO_OCC
1717494692.8509827,"{'21001': '0,1717494692', '11002': '0,1717494691', '21002': '0,1717494691', '11001': '0,1717494690'}",15.8,14.8,DEV_TO_OCC
1717494692.8518655,"{'21001': '0,1717494692', '11002': '0,1717494692', '21002': '0,1717494691', '11001': '0,1717494691'}",0.0,14.8,DEV_TO_OCC
